the,of,is,cause
pokemon/stat/special-defense,Q2sfRB91VmTHo5txwPtTx7rba2ATiGX5xsXqwfeZ9zZ,101,
pokemon/stat/speed,Q2sfRB91VmTHo5txwPtTx7rba2ATiGX5xsXqwfeZ9zZ,61,
pokemon/type/0,Q2sfRB91VmTHo5txwPtTx7rba2ATiGX5xsXqwfeZ9zZ,steel,
pokemon/type/1,Q2sfRB91VmTHo5txwPtTx7rba2ATiGX5xsXqwfeZ9zZ,flying,
pokemon/name,Qo3DrmjbJGigLWiCjm7yihGUF1hfvTSjpHbvEb8HQ9f,terapagos-terastal,
pokemon/stat/attack,Qo3DrmjbJGigLWiCjm7yihGUF1hfvTSjpHbvEb8HQ9f,95,
pokemon/stat/defense,Qo3DrmjbJGigLWiCjm7yihGUF1hfvTSjpHbvEb8HQ9f,110,
pokemon/stat/hp,Qo3DrmjbJGigLWiCjm7yihGUF1hfvTSjpHbvEb8HQ9f,95,
pokemon/stat/special-attack,Qo3DrmjbJGigLWiCjm7yihGUF1hfvTSjpHbvEb8HQ9f,105,
pokemon/stat/special-defense,Qo3DrmjbJGigLWiCjm7yihGUF1hfvTSjpHbvEb8HQ9f,110,
pokemon/stat/speed,Qo3DrmjbJGigLWiCjm7yihGUF1hfvTSjpHbvEb8HQ9f,85,
pokemon/type/0,Qo3DrmjbJGigLWiCjm7yihGUF1hfvTSjpHbvEb8HQ9f,normal,
pokemon/name,Qxb2Grq7Ph1mWsFcMxHXjdfAQJryUcwJkk5ftZcmKsW,salazzle-totem,
pokemon/stat/attack,Qxb2Grq7Ph1mWsFcMxHXjdfAQJryUcwJkk5ftZcmKsW,64,
pokemon/stat/defense,Qxb2Grq7Ph1mWsFcMxHXjdfAQJryUcwJkk5ftZcmKsW,60,
pokemon/stat/hp,Qxb2Grq7Ph1mWsFcMxHXjdfAQJryUcwJkk5ftZcmKsW,68,
pokemon/stat/special-attack,Qxb2Grq7Ph1mWsFcMxHXjdfAQJryUcwJkk5ftZcmKsW,111,
pokemon/stat/special-defense,Qxb2Grq7Ph1mWsFcMxHXjdfAQJryUcwJkk5ftZcmKsW,60,
pokemon/stat/speed,Qxb2Grq7Ph1mWsFcMxHXjdfAQJryUcwJkk5ftZcmKsW,117,
pokemon/type/0,Qxb2Grq7Ph1mWsFcMxHXjdfAQJryUcwJkk5ftZcmKsW,poison,
pokemon/type/1,Qxb2Grq7Ph1mWsFcMxHXjdfAQJryUcwJkk5ftZcmKsW,fire,
pokemon/name,RrV51NkH8Gdy3M4VRG3pBXQX6yB8fGqnvVJXbeeufht,pupitar,
pokemon/stat/attack,RrV51NkH8Gdy3M4VRG3pBXQX6yB8fGqnvVJXbeeufht,84,
pokemon/stat/defense,RrV51NkH8Gdy3M4VRG3pBXQX6yB8fGqnvVJXbeeufht,70,
pokemon/stat/hp,RrV51NkH8Gdy3M4VRG3pBXQX6yB8fGqnvVJXbeeufht,70,
pokemon/stat/special-attack,RrV51NkH8Gdy3M4VRG3pBXQX6yB8fGqnvVJXbeeufht,65,
pokemon/stat/special-defense,RrV51NkH8Gdy3M4VRG3pBXQX6yB8fGqnvVJXbeeufht,70,
pokemon/stat/speed,RrV51NkH8Gdy3M4VRG3pBXQX6yB8fGqnvVJXbeeufht,51,
pokemon/type/0,RrV51NkH8Gdy3M4VRG3pBXQX6yB8fGqnvVJXbeeufht,rock,
pokemon/type/1,RrV51NkH8Gdy3M4VRG3pBXQX6yB8fGqnvVJXbeeufht,ground,
pokemon/name,Tbopz4zLgKhBMgQcUmfpevNANFHpesd4g6nAG8So8PW,necrozma,
pokemon/stat/attack,Tbopz4zLgKhBMgQcUmfpevNANFHpesd4g6nAG8So8PW,107,
pokemon/stat/defense,Tbopz4zLgKhBMgQcUmfpevNANFHpesd4g6nAG8So8PW,101,
pokemon/stat/hp,Tbopz4zLgKhBMgQcUmfpevNANFHpesd4g6nAG8So8PW,97,
pokemon/stat/special-attack,Tbopz4zLgKhBMgQcUmfpevNANFHpesd4g6nAG8So8PW,127,
pokemon/stat/special-defense,Tbopz4zLgKhBMgQcUmfpevNANFHpesd4g6nAG8So8PW,89,
pokemon/stat/speed,Tbopz4zLgKhBMgQcUmfpevNANFHpesd4g6nAG8So8PW,79,
pokemon/type/0,Tbopz4zLgKhBMgQcUmfpevNANFHpesd4g6nAG8So8PW,psychic,
pokemon/name,TzvnUbrg3ew33t2159SqgKCHk3riMGBaaLLec84oMQY,mudkip,
pokemon/stat/attack,TzvnUbrg3ew33t2159SqgKCHk3riMGBaaLLec84oMQY,70,
pokemon/stat/defense,TzvnUbrg3ew33t2159SqgKCHk3riMGBaaLLec84oMQY,50,
pokemon/stat/hp,TzvnUbrg3ew33t2159SqgKCHk3riMGBaaLLec84oMQY,50,
pokemon/stat/special-attack,TzvnUbrg3ew33t2159SqgKCHk3riMGBaaLLec84oMQY,50,
pokemon/stat/special-defense,TzvnUbrg3ew33t2159SqgKCHk3riMGBaaLLec84oMQY,50,
pokemon/stat/speed,TzvnUbrg3ew33t2159SqgKCHk3riMGBaaLLec84oMQY,40,
pokemon/type/0,TzvnUbrg3ew33t2159SqgKCHk3riMGBaaLLec84oMQY,water,
pokemon/name,U3MLMerYVYf1WfwRGyJU9te2jCEGokFYg8G3v62tKb9,eevee-starter,
pokemon/stat/attack,U3MLMerYVYf1WfwRGyJU9te2jCEGokFYg8G3v62tKb9,75,
pokemon/stat/defense,U3MLMerYVYf1WfwRGyJU9te2jCEGokFYg8G3v62tKb9,70,
pokemon/stat/hp,U3MLMerYVYf1WfwRGyJU9te2jCEGokFYg8G3v62tKb9,65,
pokemon/stat/special-attack,U3MLMerYVYf1WfwRGyJU9te2jCEGokFYg8G3v62tKb9,65,
pokemon/stat/special-defense,U3MLMerYVYf1WfwRGyJU9te2jCEGokFYg8G3v62tKb9,85,
pokemon/stat/speed,U3MLMerYVYf1WfwRGyJU9te2jCEGokFYg8G3v62tKb9,75,
pokemon/type/0,U3MLMerYVYf1WfwRGyJU9te2jCEGokFYg8G3v62tKb9,normal,
pokemon/name,UMyGYwnuAorLfCYN2xMY9EvMq4Ahj8wxFPvMe4FT6ZT,purrloin,
pokemon/stat/attack,UMyGYwnuAorLfCYN2xMY9EvMq4Ahj8wxFPvMe4FT6ZT,50,
pokemon/stat/defense,UMyGYwnuAorLfCYN2xMY9EvMq4Ahj8wxFPvMe4FT6ZT,37,
pokemon/stat/hp,UMyGYwnuAorLfCYN2xMY9EvMq4Ahj8wxFPvMe4FT6ZT,41,
pokemon/stat/special-attack,UMyGYwnuAorLfCYN2xMY9EvMq4Ahj8wxFPvMe4FT6ZT,50,
pokemon/stat/special-defense,UMyGYwnuAorLfCYN2xMY9EvMq4Ahj8wxFPvMe4FT6ZT,37,
pokemon/stat/speed,UMyGYwnuAorLfCYN2xMY9EvMq4Ahj8wxFPvMe4FT6ZT,66,
pokemon/type/0,UMyGYwnuAorLfCYN2xMY9EvMq4Ahj8wxFPvMe4FT6ZT,dark,
pokemon/name,VAPszAmCUdE57mR7z3c1CSGVXnd2EZ2a5ML1hQUo6Gz,hydrapple,
pokemon/stat/attack,VAPszAmCUdE57mR7z3c1CSGVXnd2EZ2a5ML1hQUo6Gz,80,
pokemon/stat/defense,VAPszAmCUdE57mR7z3c1CSGVXnd2EZ2a5ML1hQUo6Gz,110,
pokemon/stat/hp,VAPszAmCUdE57mR7z3c1CSGVXnd2EZ2a5ML1hQUo6Gz,106,
pokemon/stat/special-attack,VAPszAmCUdE57mR7z3c1CSGVXnd2EZ2a5ML1hQUo6Gz,120,
pokemon/stat/special-defense,VAPszAmCUdE57mR7z3c1CSGVXnd2EZ2a5ML1hQUo6Gz,80,
pokemon/stat/speed,VAPszAmCUdE57mR7z3c1CSGVXnd2EZ2a5ML1hQUo6Gz,44,
pokemon/type/0,VAPszAmCUdE57mR7z3c1CSGVXnd2EZ2a5ML1hQUo6Gz,grass,
pokemon/type/1,VAPszAmCUdE57mR7z3c1CSGVXnd2EZ2a5ML1hQUo6Gz,dragon,
pokemon/name,VcPct6Xtw1kwzAFe9tCexAKrFqkZyAH4s4WzUowB5u6,archaludon,
pokemon/stat/attack,VcPct6Xtw1kwzAFe9tCexAKrFqkZyAH4s4WzUowB5u6,105,
pokemon/stat/defense,VcPct6Xtw1kwzAFe9tCexAKrFqkZyAH4s4WzUowB5u6,130,
pokemon/stat/hp,VcPct6Xtw1kwzAFe9tCexAKrFqkZyAH4s4WzUowB5u6,90,
pokemon/stat/special-attack,VcPct6Xtw1kwzAFe9tCexAKrFqkZyAH4s4WzUowB5u6,125,
pokemon/stat/special-defense,VcPct6Xtw1kwzAFe9tCexAKrFqkZyAH4s4WzUowB5u6,65,
pokemon/stat/speed,VcPct6Xtw1kwzAFe9tCexAKrFqkZyAH4s4WzUowB5u6,85,
pokemon/type/0,VcPct6Xtw1kwzAFe9tCexAKrFqkZyAH4s4WzUowB5u6,steel,
pokemon/type/1,VcPct6Xtw1kwzAFe9tCexAKrFqkZyAH4s4WzUowB5u6,dragon,
pokemon/name,W4k2n9mddCRd5dyL5YYix4vRU54bDztEHpxABH4NUQn,blacephalon,
pokemon/stat/attack,W4k2n9mddCRd5dyL5YYix4vRU54bDztEHpxABH4NUQn,127,
pokemon/stat/defense,W4k2n9mddCRd5dyL5YYix4vRU54bDztEHpxABH4NUQn,53,
pokemon/stat/hp,W4k2n9mddCRd5dyL5YYix4vRU54bDztEHpxABH4NUQn,53,
pokemon/stat/special-attack,W4k2n9mddCRd5dyL5YYix4vRU54bDztEHpxABH4NUQn,151,
pokemon/stat/special-defense,W4k2n9mddCRd5dyL5YYix4vRU54bDztEHpxABH4NUQn,79,
pokemon/stat/speed,W4k2n9mddCRd5dyL5YYix4vRU54bDztEHpxABH4NUQn,107,
pokemon/type/0,W4k2n9mddCRd5dyL5YYix4vRU54bDztEHpxABH4NUQn,fire,
pokemon/type/1,W4k2n9mddCRd5dyL5YYix4vRU54bDztEHpxABH4NUQn,ghost,
pokemon/name,WhMGx6aEh5mPj8v3ZXSqH7krCVE2yaF9tKWH7N3b3wu,seadra,
pokemon/stat/attack,WhMGx6aEh5mPj8v3ZXSqH7krCVE2yaF9tKWH7N3b3wu,65,
pokemon/stat/defense,WhMGx6aEh5mPj8v3ZXSqH7krCVE2yaF9tKWH7N3b3wu,95,
pokemon/stat/hp,WhMGx6aEh5mPj8v3ZXSqH7krCVE2yaF9tKWH7N3b3wu,55,
pokemon/stat/special-attack,WhMGx6aEh5mPj8v3ZXSqH7krCVE2yaF9tKWH7N3b3wu,95,
pokemon/stat/special-defense,WhMGx6aEh5mPj8v3ZXSqH7krCVE2yaF9tKWH7N3b3wu,45,
pokemon/stat/speed,WhMGx6aEh5mPj8v3ZXSqH7krCVE2yaF9tKWH7N3b3wu,85,
pokemon/type/0,WhMGx6aEh5mPj8v3ZXSqH7krCVE2yaF9tKWH7N3b3wu,water,
pokemon/name,WhW1pVX3HZyVLk2JTGiyLaMoQKtnsacR2JZYppoL8F7,skiploom,
pokemon/stat/attack,WhW1pVX3HZyVLk2JTGiyLaMoQKtnsacR2JZYppoL8F7,45,
pokemon/stat/defense,WhW1pVX3HZyVLk2JTGiyLaMoQKtnsacR2JZYppoL8F7,50,
pokemon/stat/hp,WhW1pVX3HZyVLk2JTGiyLaMoQKtnsacR2JZYppoL8F7,55,
pokemon/stat/special-attack,WhW1pVX3HZyVLk2JTGiyLaMoQKtnsacR2JZYppoL8F7,45,
pokemon/stat/special-defense,WhW1pVX3HZyVLk2JTGiyLaMoQKtnsacR2JZYppoL8F7,65,
pokemon/stat/speed,WhW1pVX3HZyVLk2JTGiyLaMoQKtnsacR2JZYppoL8F7,80,
pokemon/type/0,WhW1pVX3HZyVLk2JTGiyLaMoQKtnsacR2JZYppoL8F7,grass,
pokemon/type/1,WhW1pVX3HZyVLk2JTGiyLaMoQKtnsacR2JZYppoL8F7,flying,
pokemon/name,YXKRXckZ3VYbaJzAvGry6fpwmucgKsN3Z7frrz3uYzb,snorlax-gmax,
pokemon/stat/attack,YXKRXckZ3VYbaJzAvGry6fpwmucgKsN3Z7frrz3uYzb,110,
pokemon/stat/defense,YXKRXckZ3VYbaJzAvGry6fpwmucgKsN3Z7frrz3uYzb,65,
pokemon/stat/hp,YXKRXckZ3VYbaJzAvGry6fpwmucgKsN3Z7frrz3uYzb,160,
pokemon/stat/special-attack,YXKRXckZ3VYbaJzAvGry6fpwmucgKsN3Z7frrz3uYzb,65,
pokemon/stat/special-defense,YXKRXckZ3VYbaJzAvGry6fpwmucgKsN3Z7frrz3uYzb,110,
pokemon/stat/speed,YXKRXckZ3VYbaJzAvGry6fpwmucgKsN3Z7frrz3uYzb,30,
pokemon/type/0,YXKRXckZ3VYbaJzAvGry6fpwmucgKsN3Z7frrz3uYzb,normal,
pokemon/name,YxVez1kVFiqTdy6kVxoSLRbi4Sa5Q6ih2Q3AewyEstW,heliolisk,
pokemon/stat/attack,YxVez1kVFiqTdy6kVxoSLRbi4Sa5Q6ih2Q3AewyEstW,55,
pokemon/stat/defense,YxVez1kVFiqTdy6kVxoSLRbi4Sa5Q6ih2Q3AewyEstW,52,
pokemon/stat/hp,YxVez1kVFiqTdy6kVxoSLRbi4Sa5Q6ih2Q3AewyEstW,62,
pokemon/stat/special-attack,YxVez1kVFiqTdy6kVxoSLRbi4Sa5Q6ih2Q3AewyEstW,109,
pokemon/stat/special-defense,YxVez1kVFiqTdy6kVxoSLRbi4Sa5Q6ih2Q3AewyEstW,94,
pokemon/stat/speed,YxVez1kVFiqTdy6kVxoSLRbi4Sa5Q6ih2Q3AewyEstW,109,
pokemon/type/0,YxVez1kVFiqTdy6kVxoSLRbi4Sa5Q6ih2Q3AewyEstW,electric,
pokemon/type/1,YxVez1kVFiqTdy6kVxoSLRbi4Sa5Q6ih2Q3AewyEstW,normal,
pokemon/name,ZfMGNtZ3WQ9gb5AvMB5vJBHRUQeBx7JSLmbPqCUAezo,psyduck,
pokemon/stat/attack,ZfMGNtZ3WQ9gb5AvMB5vJBHRUQeBx7JSLmbPqCUAezo,52,
pokemon/stat/defense,ZfMGNtZ3WQ9gb5AvMB5vJBHRUQeBx7JSLmbPqCUAezo,48,
pokemon/stat/hp,ZfMGNtZ3WQ9gb5AvMB5vJBHRUQeBx7JSLmbPqCUAezo,50,
pokemon/stat/special-attack,ZfMGNtZ3WQ9gb5AvMB5vJBHRUQeBx7JSLmbPqCUAezo,65,
pokemon/stat/special-defense,ZfMGNtZ3WQ9gb5AvMB5vJBHRUQeBx7JSLmbPqCUAezo,50,
pokemon/stat/speed,ZfMGNtZ3WQ9gb5AvMB5vJBHRUQeBx7JSLmbPqCUAezo,55,
pokemon/type/0,ZfMGNtZ3WQ9gb5AvMB5vJBHRUQeBx7JSLmbPqCUAezo,water,
pokemon/name,ZszQBjfpLdMuxthzSepNtrtZ5Mzwebm5Wo4NoAmf63U,metagross,
pokemon/stat/attack,ZszQBjfpLdMuxthzSepNtrtZ5Mzwebm5Wo4NoAmf63U,135,
pokemon/stat/defense,ZszQBjfpLdMuxthzSepNtrtZ5Mzwebm5Wo4NoAmf63U,130,
pokemon/stat/hp,ZszQBjfpLdMuxthzSepNtrtZ5Mzwebm5Wo4NoAmf63U,80,
pokemon/stat/special-attack,ZszQBjfpLdMuxthzSepNtrtZ5Mzwebm5Wo4NoAmf63U,95,
pokemon/stat/special-defense,ZszQBjfpLdMuxthzSepNtrtZ5Mzwebm5Wo4NoAmf63U,90,
pokemon/stat/speed,ZszQBjfpLdMuxthzSepNtrtZ5Mzwebm5Wo4NoAmf63U,70,
pokemon/type/0,ZszQBjfpLdMuxthzSepNtrtZ5Mzwebm5Wo4NoAmf63U,steel,
pokemon/type/1,ZszQBjfpLdMuxthzSepNtrtZ5Mzwebm5Wo4NoAmf63U,psychic,
pokemon/name,Zvi8yd87m9TkoyesqUiKYt6h7Dnet2VcEnSebLL6u1V,abomasnow,
pokemon/stat/attack,Zvi8yd87m9TkoyesqUiKYt6h7Dnet2VcEnSebLL6u1V,92,
pokemon/stat/defense,Zvi8yd87m9TkoyesqUiKYt6h7Dnet2VcEnSebLL6u1V,75,
pokemon/stat/hp,Zvi8yd87m9TkoyesqUiKYt6h7Dnet2VcEnSebLL6u1V,90,
pokemon/stat/special-attack,Zvi8yd87m9TkoyesqUiKYt6h7Dnet2VcEnSebLL6u1V,92,
pokemon/stat/special-defense,Zvi8yd87m9TkoyesqUiKYt6h7Dnet2VcEnSebLL6u1V,85,
pokemon/stat/speed,Zvi8yd87m9TkoyesqUiKYt6h7Dnet2VcEnSebLL6u1V,60,
pokemon/type/0,Zvi8yd87m9TkoyesqUiKYt6h7Dnet2VcEnSebLL6u1V,grass,
pokemon/type/1,Zvi8yd87m9TkoyesqUiKYt6h7Dnet2VcEnSebLL6u1V,ice,
pokemon/name,aZZSJmoY6rcsshJCNx8Qe5gFhqfssM8CCL2SPe1PBqk,meowth-alola,
pokemon/stat/attack,aZZSJmoY6rcsshJCNx8Qe5gFhqfssM8CCL2SPe1PBqk,35,
pokemon/stat/defense,aZZSJmoY6rcsshJCNx8Qe5gFhqfssM8CCL2SPe1PBqk,35,
pokemon/stat/hp,aZZSJmoY6rcsshJCNx8Qe5gFhqfssM8CCL2SPe1PBqk,40,
pokemon/stat/special-attack,aZZSJmoY6rcsshJCNx8Qe5gFhqfssM8CCL2SPe1PBqk,50,
pokemon/stat/special-defense,aZZSJmoY6rcsshJCNx8Qe5gFhqfssM8CCL2SPe1PBqk,40,
pokemon/stat/speed,aZZSJmoY6rcsshJCNx8Qe5gFhqfssM8CCL2SPe1PBqk,90,
pokemon/type/0,aZZSJmoY6rcsshJCNx8Qe5gFhqfssM8CCL2SPe1PBqk,dark,
pokemon/name,b8qb1ji4n3JNVZv9kzZL2fFBrFS9Cjb27VvQQP6ZSvb,smeargle,
pokemon/stat/attack,b8qb1ji4n3JNVZv9kzZL2fFBrFS9Cjb27VvQQP6ZSvb,20,
pokemon/stat/defense,b8qb1ji4n3JNVZv9kzZL2fFBrFS9Cjb27VvQQP6ZSvb,35,
pokemon/stat/hp,b8qb1ji4n3JNVZv9kzZL2fFBrFS9Cjb27VvQQP6ZSvb,55,
pokemon/stat/special-attack,b8qb1ji4n3JNVZv9kzZL2fFBrFS9Cjb27VvQQP6ZSvb,20,
pokemon/stat/special-defense,b8qb1ji4n3JNVZv9kzZL2fFBrFS9Cjb27VvQQP6ZSvb,45,
pokemon/stat/speed,b8qb1ji4n3JNVZv9kzZL2fFBrFS9Cjb27VvQQP6ZSvb,75,
pokemon/type/0,b8qb1ji4n3JNVZv9kzZL2fFBrFS9Cjb27VvQQP6ZSvb,normal,
pokemon/name,bsBCt3nKV5XXwh7VqV39JsJ6nt5T11gY6NQTtXx6naT,krabby,
pokemon/stat/attack,bsBCt3nKV5XXwh7VqV39JsJ6nt5T11gY6NQTtXx6naT,105,
pokemon/stat/defense,bsBCt3nKV5XXwh7VqV39JsJ6nt5T11gY6NQTtXx6naT,90,
pokemon/stat/hp,bsBCt3nKV5XXwh7VqV39JsJ6nt5T11gY6NQTtXx6naT,30,
pokemon/stat/special-attack,bsBCt3nKV5XXwh7VqV39JsJ6nt5T11gY6NQTtXx6naT,25,
pokemon/stat/special-defense,bsBCt3nKV5XXwh7VqV39JsJ6nt5T11gY6NQTtXx6naT,25,
pokemon/stat/speed,bsBCt3nKV5XXwh7VqV39JsJ6nt5T11gY6NQTtXx6naT,50,
pokemon/type/0,bsBCt3nKV5XXwh7VqV39JsJ6nt5T11gY6NQTtXx6naT,water,
pokemon/name,cXH1XtV4SgwEbAfEKTuUsptZ5Sq9bCVTTYiuFTDysKC,sunflora,
pokemon/stat/attack,cXH1XtV4SgwEbAfEKTuUsptZ5Sq9bCVTTYiuFTDysKC,75,
pokemon/stat/defense,cXH1XtV4SgwEbAfEKTuUsptZ5Sq9bCVTTYiuFTDysKC,55,
pokemon/stat/hp,cXH1XtV4SgwEbAfEKTuUsptZ5Sq9bCVTTYiuFTDysKC,75,
pokemon/stat/special-attack,cXH1XtV4SgwEbAfEKTuUsptZ5Sq9bCVTTYiuFTDysKC,105,
pokemon/stat/special-defense,cXH1XtV4SgwEbAfEKTuUsptZ5Sq9bCVTTYiuFTDysKC,85,
pokemon/stat/speed,cXH1XtV4SgwEbAfEKTuUsptZ5Sq9bCVTTYiuFTDysKC,30,
pokemon/type/0,cXH1XtV4SgwEbAfEKTuUsptZ5Sq9bCVTTYiuFTDysKC,grass,
pokemon/name,civBPaJZ9wM1hZJJ9a6Y5KUk7qaCaV8cmxZPz3FVgcz,quilava,
pokemon/stat/attack,civBPaJZ9wM1hZJJ9a6Y5KUk7qaCaV8cmxZPz3FVgcz,64,
pokemon/stat/defense,civBPaJZ9wM1hZJJ9a6Y5KUk7qaCaV8cmxZPz3FVgcz,58,
pokemon/stat/hp,civBPaJZ9wM1hZJJ9a6Y5KUk7qaCaV8cmxZPz3FVgcz,58,
pokemon/stat/special-attack,civBPaJZ9wM1hZJJ9a6Y5KUk7qaCaV8cmxZPz3FVgcz,80,
pokemon/stat/special-defense,civBPaJZ9wM1hZJJ9a6Y5KUk7qaCaV8cmxZPz3FVgcz,65,
pokemon/stat/speed,civBPaJZ9wM1hZJJ9a6Y5KUk7qaCaV8cmxZPz3FVgcz,80,
pokemon/type/0,civBPaJZ9wM1hZJJ9a6Y5KUk7qaCaV8cmxZPz3FVgcz,fire,
pokemon/name,cj6GcF5EUCHof8jbzhiN3GhPUbVj9iZxizMpcbjsaKA,wooper-paldea,
pokemon/stat/attack,cj6GcF5EUCHof8jbzhiN3GhPUbVj9iZxizMpcbjsaKA,45,
pokemon/stat/defense,cj6GcF5EUCHof8jbzhiN3GhPUbVj9iZxizMpcbjsaKA,45,
pokemon/stat/hp,cj6GcF5EUCHof8jbzhiN3GhPUbVj9iZxizMpcbjsaKA,55,
pokemon/stat/special-attack,cj6GcF5EUCHof8jbzhiN3GhPUbVj9iZxizMpcbjsaKA,25,
pokemon/stat/special-defense,cj6GcF5EUCHof8jbzhiN3GhPUbVj9iZxizMpcbjsaKA,25,
pokemon/stat/speed,cj6GcF5EUCHof8jbzhiN3GhPUbVj9iZxizMpcbjsaKA,15,
pokemon/type/0,cj6GcF5EUCHof8jbzhiN3GhPUbVj9iZxizMpcbjsaKA,poison,
pokemon/type/1,cj6GcF5EUCHof8jbzhiN3GhPUbVj9iZxizMpcbjsaKA,ground,
pokemon/name,cy2NkpEMUbD4iWC7TsrzZwdtfC5d6GLUhm14unhctsg,varoom,
pokemon/stat/attack,cy2NkpEMUbD4iWC7TsrzZwdtfC5d6GLUhm14unhctsg,70,
pokemon/stat/defense,cy2NkpEMUbD4iWC7TsrzZwdtfC5d6GLUhm14unhctsg,63,
pokemon/stat/hp,cy2NkpEMUbD4iWC7TsrzZwdtfC5d6GLUhm14unhctsg,45,
pokemon/stat/special-attack,cy2NkpEMUbD4iWC7TsrzZwdtfC5d6GLUhm14unhctsg,30,
pokemon/stat/special-defense,cy2NkpEMUbD4iWC7TsrzZwdtfC5d6GLUhm14unhctsg,45,
pokemon/stat/speed,cy2NkpEMUbD4iWC7TsrzZwdtfC5d6GLUhm14unhctsg,47,
pokemon/type/0,cy2NkpEMUbD4iWC7TsrzZwdtfC5d6GLUhm14unhctsg,steel,
pokemon/type/1,cy2NkpEMUbD4iWC7TsrzZwdtfC5d6GLUhm14unhctsg,poison,
pokemon/name,d74rApKmRbcCEzxkaDSr1tNw3532YS7THsCaep1x5Fi,skarmory,
pokemon/stat/attack,d74rApKmRbcCEzxkaDSr1tNw3532YS7THsCaep1x5Fi,80,
pokemon/stat/defense,d74rApKmRbcCEzxkaDSr1tNw3532YS7THsCaep1x5Fi,140,
pokemon/stat/hp,d74rApKmRbcCEzxkaDSr1tNw3532YS7THsCaep1x5Fi,65,
pokemon/stat/special-attack,d74rApKmRbcCEzxkaDSr1tNw3532YS7THsCaep1x5Fi,40,
pokemon/stat/special-defense,d74rApKmRbcCEzxkaDSr1tNw3532YS7THsCaep1x5Fi,70,
pokemon/stat/speed,d74rApKmRbcCEzxkaDSr1tNw3532YS7THsCaep1x5Fi,70,
pokemon/type/0,d74rApKmRbcCEzxkaDSr1tNw3532YS7THsCaep1x5Fi,steel,
pokemon/type/1,d74rApKmRbcCEzxkaDSr1tNw3532YS7THsCaep1x5Fi,flying,
pokemon/name,eM4zfrRQj7Ft8xNvUwKNzQSiGBN1pxMLVo14quKmMow,brambleghast,
pokemon/stat/attack,eM4zfrRQj7Ft8xNvUwKNzQSiGBN1pxMLVo14quKmMow,115,
pokemon/stat/defense,eM4zfrRQj7Ft8xNvUwKNzQSiGBN1pxMLVo14quKmMow,70,
pokemon/stat/hp,eM4zfrRQj7Ft8xNvUwKNzQSiGBN1pxMLVo14quKmMow,55,
pokemon/stat/special-attack,eM4zfrRQj7Ft8xNvUwKNzQSiGBN1pxMLVo14quKmMow,80,
pokemon/stat/special-defense,eM4zfrRQj7Ft8xNvUwKNzQSiGBN1pxMLVo14quKmMow,70,
pokemon/stat/speed,eM4zfrRQj7Ft8xNvUwKNzQSiGBN1pxMLVo14quKmMow,90,
pokemon/type/0,eM4zfrRQj7Ft8xNvUwKNzQSiGBN1pxMLVo14quKmMow,grass,
pokemon/type/1,eM4zfrRQj7Ft8xNvUwKNzQSiGBN1pxMLVo14quKmMow,ghost,
pokemon/name,ex6FsaaTMkZwEtYCUeXYJJuD1cJohr7R2kH3qR6ip7L,iron-jugulis,
pokemon/stat/attack,ex6FsaaTMkZwEtYCUeXYJJuD1cJohr7R2kH3qR6ip7L,80,
pokemon/stat/defense,ex6FsaaTMkZwEtYCUeXYJJuD1cJohr7R2kH3qR6ip7L,86,
pokemon/stat/hp,ex6FsaaTMkZwEtYCUeXYJJuD1cJohr7R2kH3qR6ip7L,94,
pokemon/stat/special-attack,ex6FsaaTMkZwEtYCUeXYJJuD1cJohr7R2kH3qR6ip7L,122,
pokemon/stat/special-defense,ex6FsaaTMkZwEtYCUeXYJJuD1cJohr7R2kH3qR6ip7L,80,
pokemon/stat/speed,ex6FsaaTMkZwEtYCUeXYJJuD1cJohr7R2kH3qR6ip7L,108,
pokemon/type/0,ex6FsaaTMkZwEtYCUeXYJJuD1cJohr7R2kH3qR6ip7L,dark,
pokemon/type/1,ex6FsaaTMkZwEtYCUeXYJJuD1cJohr7R2kH3qR6ip7L,flying,
pokemon/name,g6afEEqQgaH2E5KM9G2rckUs2vRFor6uVhfVEqKNkcD,sableye-mega,
pokemon/stat/attack,g6afEEqQgaH2E5KM9G2rckUs2vRFor6uVhfVEqKNkcD,85,
pokemon/stat/defense,g6afEEqQgaH2E5KM9G2rckUs2vRFor6uVhfVEqKNkcD,125,
pokemon/stat/hp,g6afEEqQgaH2E5KM9G2rckUs2vRFor6uVhfVEqKNkcD,50,
pokemon/stat/special-attack,g6afEEqQgaH2E5KM9G2rckUs2vRFor6uVhfVEqKNkcD,85,
pokemon/stat/special-defense,g6afEEqQgaH2E5KM9G2rckUs2vRFor6uVhfVEqKNkcD,115,
pokemon/stat/speed,g6afEEqQgaH2E5KM9G2rckUs2vRFor6uVhfVEqKNkcD,20,
pokemon/type/0,g6afEEqQgaH2E5KM9G2rckUs2vRFor6uVhfVEqKNkcD,dark,
pokemon/type/1,g6afEEqQgaH2E5KM9G2rckUs2vRFor6uVhfVEqKNkcD,ghost,
pokemon/name,h9xMPJmhtrT2Qu8KF8iLk776rjqb3mSLCUFWM4kmbVi,hoppip,
pokemon/stat/attack,h9xMPJmhtrT2Qu8KF8iLk776rjqb3mSLCUFWM4kmbVi,35,
pokemon/stat/defense,h9xMPJmhtrT2Qu8KF8iLk776rjqb3mSLCUFWM4kmbVi,40,
